User,ConnectedUser,Likes,Shares,Comments,InteractionFrequency
user_30,user_88,56,41,44,6
user_30,user_44,0,19,45,6
user_30,user_15,94,0,45,4
user_30,user_13,51,5,16,10
user_31,user_47,91,10,6,10
user_31,user_22,92,9,22,10
user_31,user_99,27,45,48,6
user_31,user_76,56,43,4,7
user_31,user_73,18,50,25,1
user_32,user_39,37,9,3,3
user_32,user_26,77,22,48,3
user_32,user_40,78,46,38,10
user_32,user_56,37,6,8,2
user_32,user_95,58,31,32,3
user_33,user_84,65,37,23,8
user_33,user_86,71,11,11,10
user_33,user_53,16,1,2,6
user_33,user_58,94,26,25,10
user_34,user_96,76,25,40,9
user_34,user_6,37,44,20,8
user_34,user_97,82,2,9,6
user_34,user_59,75,14,22,5
user_34,user_10,30,37,12,9
user_35,user_96,80,39,43,5
user_35,user_29,54,41,23,2
user_35,user_61,79,30,11,10
user_35,user_87,25,4,0,3
user_36,user_43,86,43,47,7
user_36,user_8,62,32,25,1
user_36,user_31,86,19,7,3
user_36,user_34,60,22,19,5
user_36,user_76,48,25,8,10
user_37,user_82,21,6,7,5
user_37,user_20,94,18,41,4
user_37,user_79,46,25,22,5
user_37,user_26,81,46,26,4
user_37,user_70,22,4,2,6
user_38,user_63,27,46,50,9
user_38,user_15,60,49,5,2
user_38,user_41,79,17,24,2
user_38,user_96,25,1,23,9
user_39,user_9,16,40,28,10
user_39,user_52,81,45,22,10
user_39,user_54,10,23,16,2
user_39,user_62,10,5,37,10
user_39,user_12,47,7,49,3
user_40,user_93,85,36,22,8
user_40,user_74,79,1,49,4
user_40,user_78,16,20,26,6
user_40,user_81,35,34,42,3
user_40,user_46,23,37,16,10
user_41,user_89,95,24,10,5
user_41,user_38,94,16,5,2
user_41,user_9,77,24,14,3
user_41,user_32,35,25,0,9
user_41,user_87,44,49,37,1
user_42,user_6,45,14,27,9
user_42,user_34,91,9,36,3
user_42,user_83,29,24,9,5
user_42,user_95,79,7,16,1
user_42,user_86,45,26,49,9
user_43,user_3,23,34,38,2
user_43,user_19,17,48,7,1
user_43,user_0,94,42,29,1
user_43,user_16,38,38,30,2
user_43,user_15,60,14,41,9
user_44,user_16,95,31,39,3
user_44,user_72,15,5,17,4
user_44,user_6,31,37,13,8
user_44,user_78,72,2,42,2
user_44,user_93,79,12,20,8
user_45,user_52,7,39,31,3
user_45,user_90,22,45,27,9
user_45,user_25,5,42,47,10
user_45,user_71,34,16,2,9
user_45,user_69,52,37,25,8
user_46,user_11,83,46,26,5
user_46,user_34,38,29,38,8
user_46,user_58,61,11,26,1
user_46,user_28,96,10,27,3
user_46,user_78,1,23,49,10
user_47,user_57,38,24,34,5
user_47,user_67,37,10,15,4
user_47,user_16,7,27,18,10
user_47,user_28,97,10,45,7
user_47,user_95,87,20,12,2
user_48,user_7,79,38,21,7
user_48,user_0,95,30,50,10
user_48,user_99,51,6,25,3
user_48,user_81,63,27,27,4
user_48,user_83,61,41,19,1
user_49,user_51,11,12,1,4
user_49,user_11,37,35,45,3
user_49,user_81,88,12,44,10
user_49,user_24,58,16,19,8
user_49,user_69,51,14,48,9
user_50,user_1,50,10,41,10
user_50,user_36,53,0,17,7
user_50,user_56,23,45,0,10
user_50,user_81,1,38,40,7
user_50,user_97,15,35,13,7
user_51,user_93,52,42,20,2
user_51,user_67,38,8,7,2
user_51,user_12,3,14,0,1
user_51,user_0,72,42,17,6
user_51,user_58,8,32,19,4
user_52,user_47,95,27,5,9
user_52,user_42,28,2,26,5
user_52,user_66,47,19,45,5
user_52,user_5,69,23,15,1
user_52,user_41,60,47,16,2
user_53,user_98,36,26,27,7
user_53,user_88,93,14,10,6
user_53,user_66,55,26,41,8
user_53,user_28,81,17,5,10
user_53,user_32,31,0,14,8
user_54,user_27,10,4,16,6
user_54,user_86,75,1,47,3
user_54,user_48,37,17,13,1
user_54,user_98,84,34,21,7
user_54,user_19,81,42,46,2
user_55,user_22,100,44,33,9
user_55,user_18,26,35,13,4
user_55,user_91,45,24,12,8
user_55,user_92,63,10,17,7
user_55,user_40,26,41,29,1
user_56,user_80,22,25,18,4
user_56,user_77,93,27,8,8
user_56,user_24,85,35,26,8
user_56,user_1,14,38,28,8
user_56,user_16,79,41,39,9
user_57,user_25,0,43,41,2
user_57,user_72,20,17,9,6
user_57,user_82,5,20,4,9
user_57,user_79,6,32,1,8
user_57,user_47,56,2,5,4
user_58,user_61,68,31,30,7
user_58,user_92,50,16,33,4
user_58,user_65,51,37,44,3
user_58,user_53,47,6,41,2
user_58,user_4,9,35,22,5
user_59,user_74,29,15,48,6
user_59,user_44,4,37,42,6
user_59,user_30,69,44,36,9
user_59,user_58,95,0,18,9
user_59,user_53,67,4,5,2
user_60,user_40,73,46,19,3
user_60,user_74,27,24,19,7
user_60,user_87,90,40,34,7
user_60,user_58,63,45,40,1
user_60,user_98,1,43,50,4
user_61,user_57,1,46,47,7
user_61,user_96,39,15,37,8
user_61,user_14,46,19,27,8
user_61,user_25,6,30,16,7
user_61,user_55,20,12,21,9
user_62,user_7,63,2,13,4
user_62,user_27,69,20,5,5
user_62,user_14,96,36,43,1
user_62,user_38,20,33,47,7
user_62,user_84,28,31,9,2
user_63,user_29,45,14,22,8
user_63,user_50,65,23,13,10
user_63,user_71,32,3,7,10
user_63,user_60,88,14,5,2
user_63,user_23,87,30,17,7
user_64,user_50,3,0,18,8
user_64,user_19,94,48,31,5
user_64,user_61,44,36,2,7
user_64,user_55,98,41,17,4
user_64,user_18,22,41,6,1
user_65,user_40,44,31,30,10
user_65,user_4,23,38,34,1
user_65,user_62,72,26,43,3
user_65,user_0,93,35,47,7
user_65,user_45,73,18,47,5
user_66,user_8,32,46,23,2
user_66,user_49,18,27,22,3
user_66,user_34,99,27,38,7
user_66,user_22,22,16,37,7
user_67,user_96,15,19,34,5
user_67,user_65,23,23,30,4
user_67,user_98,6,24,40,10
user_67,user_89,28,41,1,4
user_67,user_32,92,38,23,10
user_68,user_9,26,7,22,4
user_68,user_34,84,14,16,4
user_68,user_78,0,19,13,6
user_68,user_41,42,33,40,9
user_68,user_5,3,41,1,7
user_69,user_85,38,36,48,8
user_69,user_98,25,4,22,6
user_69,user_97,85,42,44,7
user_69,user_60,91,6,36,2
user_69,user_33,49,33,32,8
user_70,user_51,48,25,39,8
user_70,user_87,100,9,46,7
user_70,user_6,13,9,44,5
user_70,user_66,84,41,6,2
user_70,user_77,71,6,1,7
user_71,user_19,1,12,10,6
user_71,user_81,51,46,44,8
user_71,user_37,27,16,44,4
user_71,user_74,65,24,0,9
user_71,user_1,98,20,34,4
user_72,user_36,7,8,32,10
user_72,user_60,39,1,5,2
user_72,user_21,25,34,45,1
user_72,user_56,28,28,14,7
user_72,user_20,13,2,14,2
user_73,user_71,48,31,32,5
user_73,user_5,14,36,12,9
user_73,user_65,98,35,11,9
user_73,user_50,32,24,37,7
user_73,user_48,29,18,48,1
user_74,user_72,95,21,5,8
user_74,user_49,71,14,29,2
user_74,user_88,75,36,18,9
user_74,user_48,75,42,13,6
user_74,user_37,69,47,34,5
user_75,user_32,7,26,3,8
user_75,user_3,21,34,50,2
user_75,user_15,66,8,1,6
user_75,user_69,25,17,11,7
user_75,user_55,22,47,21,6
user_76,user_6,64,47,8,2
user_76,user_75,40,7,40,3
user_76,user_71,65,5,31,8
user_76,user_92,48,18,46,4
user_76,user_94,7,31,22,9
user_77,user_85,31,13,35,2
user_77,user_48,11,12,29,2
user_77,user_32,3,15,42,10
user_77,user_75,44,13,16,9
user_77,user_63,46,25,14,8
user_78,user_77,53,31,35,7
user_78,user_57,83,6,21,5
user_78,user_48,29,14,25,9
user_78,user_5,54,27,10,10
user_79,user_13,86,49,20,1
user_79,user_32,96,15,5,10
user_79,user_71,33,8,40,3
user_79,user_7,69,4,49,10
user_79,user_88,21,13,28,8
user_80,user_25,78,36,14,3
user_80,user_7,96,13,31,10
user_80,user_47,16,0,41,9
user_80,user_36,19,27,21,8
user_80,user_16,7,46,45,8
user_81,user_61,19,36,8,7
user_81,user_70,41,29,21,8
user_81,user_68,56,18,20,4
user_81,user_72,74,20,14,7
user_82,user_85,5,23,38,3
user_82,user_96,45,45,2,1
user_82,user_94,41,9,49,5
user_82,user_9,84,41,25,5
user_82,user_51,29,49,44,4
user_83,user_25,83,15,47,8
user_83,user_12,11,22,2,10
user_83,user_55,5,34,18,7
user_83,user_79,43,28,40,5
user_83,user_81,12,42,37,8
user_84,user_12,88,33,25,1
user_84,user_66,6,20,7,3
user_84,user_55,94,47,50,5
user_84,user_96,95,8,17,9
user_84,user_68,45,50,22,6
user_85,user_30,8,40,9,9
user_85,user_5,26,1,47,10
user_85,user_18,59,10,33,3
user_85,user_62,1,8,48,3
user_85,user_43,81,44,28,8
user_86,user_66,25,15,50,6
user_86,user_92,42,40,12,3
user_86,user_65,2,2,21,6
user_86,user_41,58,12,28,2
user_86,user_23,56,45,40,8
user_87,user_84,11,11,29,3
user_87,user_9,11,36,8,8
user_87,user_19,4,7,28,3
user_87,user_20,66,13,30,10
user_87,user_7,53,33,26,1
user_88,user_71,58,45,18,5
user_88,user_23,83,21,48,7
user_88,user_84,64,44,9,10
user_88,user_77,45,50,17,5
user_88,user_40,35,7,5,9
user_89,user_69,69,47,5,9
user_89,user_6,55,2,39,9
user_89,user_98,57,32,0,1
user_89,user_48,17,3,48,7
user_89,user_53,24,16,5,7
user_90,user_96,60,32,42,3
user_90,user_74,53,11,17,9
user_90,user_81,32,36,25,4
user_90,user_46,11,29,45,8
user_90,user_64,17,29,0,1
user_91,user_24,12,45,1,8
user_91,user_76,0,46,7,7
user_91,user_58,20,15,21,2
user_91,user_77,8,32,44,3
user_91,user_13,4,16,42,4
user_92,user_60,82,30,23,10
user_92,user_27,75,24,39,3
user_92,user_67,88,48,38,1
user_92,user_35,72,1,3,7
user_92,user_97,64,47,17,2
user_93,user_27,18,13,12,2
user_93,user_91,50,20,22,8
user_93,user_12,97,15,41,9
user_93,user_53,58,35,41,6
user_93,user_77,53,41,7,1
user_94,user_0,6,48,18,8
user_94,user_43,10,34,11,7
user_94,user_55,24,32,40,2
user_94,user_58,92,9,8,2
user_94,user_8,78,37,13,2
user_95,user_52,44,8,41,6
user_95,user_93,58,30,28,3
user_95,user_18,36,37,19,6
user_95,user_33,74,48,15,10
user_95,user_45,87,20,35,7
user_96,user_0,89,31,21,4
user_96,user_83,74,27,7,1
user_96,user_12,90,34,10,2
user_96,user_43,50,28,40,7
user_96,user_88,21,15,8,10
user_97,user_96,84,40,35,3
user_97,user_6,45,16,45,3
user_97,user_30,19,39,37,2
user_97,user_34,46,26,23,9
user_97,user_10,99,33,43,9
user_98,user_31,4,9,11,6
user_98,user_28,78,22,31,5
user_98,user_41,64,32,7,10
user_98,user_65,76,25,47,10
user_99,user_90,66,32,36,5
user_99,user_69,92,11,6,1
user_99,user_29,96,3,13,1
user_99,user_51,31,40,19,7
user_99,user_1,61,43,10,7
